Gene,MeanAbsSHAP
ALOX12B,0.0012469253834956203
ADCYAP1R1,0.0012463959217007443
GRIA1,0.0012462194332274615
KRT15,0.0012461661455757975
IL12RB1,0.0012459110361711643
CXCL2,0.0012455745717040321
F3,0.0012452239689846717
SAA1,0.0012440716236028888
CA9,0.0012436065535561388
AFP,0.0012433771966248643
DDX11L2,0.0012431050694750923
CCL3L1,0.0012428458046086673
PABPC1L,0.0012423574923048303
INPP4B,0.0012423305492613205
FGD3,0.0012418184939769835
TOP2A,0.001241327106063207
LOC100286793,0.0012408516690315865
NEURL3,0.00124044787896638
CDCA2,0.0012403507913644615
SUSD3,0.001240322067309939
CCDC48,0.0012402701467644464
NETO2,0.0012401936756033492
PPP4R4,0.0012398800306729957
ELOVL2,0.0012396932544220362
TARP,0.0012396033504347296
C19orf59,0.0012396016882160804
EPB49,0.001239594871258968
FBXO2,0.0012394550407014056
SLC5A8,0.001239060730336345
GDF5,0.0012376410077789915
TCAM1P,0.0012362094148852525
ASTN1,0.0012358228470839745
GRPR,0.0012356145281917938
SLC4A4,0.0012352215521648643
PRKG1,0.0012347807671419433
CCL7,0.001234354688058343
HIST1H4H,0.0012337054654357378
C11orf92,0.001233292351329417
SYCP1,0.0012332450791228034
MRGPRX3,0.001232102272060508
ATRNL1,0.0012319002536044406
CYP4F11,0.0012318304839623471
C16orf71,0.001231816978551434
TUBB3,0.0012318120321631277
LGR4,0.0012314889366993815
KIAA1244,0.001231389377048073
FLJ13197,0.001231365157398222
HPSE,0.0012309153803365428
MED12L,0.001230704286254536
TUBA4A,0.0012298526116025876
KRT6C,0.0012290637570837345
CASP14,0.0012286036290277025
SERPINA12,0.0012285359756301912
C2CD4A,0.0012278056594992235
MSLN,0.001227518372818379
PCDHGA7,0.001227283590629074
LOC642587,0.0012272544147810057
LGALS9B,0.0012270894170013787
CDH3,0.0012270157482706483
FAM189A2,0.001226803083352479
LRG1,0.001226605843274342
SARM1,0.0012256051411900634
FGF13,0.0012250582846704894
CEACAM1,0.0012248925242137906
LRFN2,0.00122489156279381
KLHDC7A,0.0012246328312246232
SLAMF8,0.0012245933811894044
PARD6B,0.0012242292264056055
RYR2,0.0012239999395096863
CPNE4,0.001223957705535028
RYR1,0.001223726174985826
ZNF703,0.0012235782601097058
CDC20,0.001222380456923449
PCYT1B,0.0012222384368513416
ESYT3,0.0012214812964967219
DNAH7,0.0012212086422781314
NR3C2,0.0012211522118304983
DUSP4,0.0012210474548650454
MEX3A,0.001220820170136092
TM4SF18,0.0012208028802254726
DSCAM,0.0012199329621948448
ABCC11,0.001218936334987101
LGALS12,0.0012185536549321086
ZNF462,0.0012184756268480454
PRG4,0.001218370590991924
NGFR,0.0012182269557159645
FGF2,0.0012179444268298311
PCDHGC5,0.0012177994252738245
DNAJC22,0.001217466467431431
IGFL1,0.0012165437834928147
CDH22,0.0012163818418703916
UMODL1,0.001214373609849812
CMYA5,0.0012140633480789296
VASH2,0.0012135407291782802
MEST,0.001213314407056999
CRIP1,0.0012131006380027682
SLC2A4,0.0012130130039259433
TRIM2,0.0012126768894579717
HPSE2,0.0012126257706935601
S100P,0.0012125527402744554
C17orf28,0.0012122253201126575
RERGL,0.0012117506442545316
CT62,0.0012116637126079392
CORO6,0.001211497968100793
TSPYL5,0.0012110436699038774
SLC23A1,0.0012105369945088916
C21orf15,0.001210112599145753
AKR7L,0.0012100104108331462
FOXH1,0.0012099958617824314
GTF2A1L,0.00120995822219861
MPPED1,0.001209912499741803
CNR2,0.001209862299475617
HUNK,0.0012096177854663598
CRLF1,0.0012084350453556503
MTUS2,0.001207612135892254
CNKSR2,0.0012071679250148294
